value,datetime
91.0,2022-04-22 16:52:09
92.0,2022-04-22 16:52:14
67.0,2022-04-25 19:10:24
74.0,2022-04-25 19:10:32
77.0,2022-04-25 19:10:37
72.0,2022-04-25 19:10:42
72.0,2022-04-25 19:10:47
74.0,2022-04-25 19:10:52
75.0,2022-04-25 19:11:02
75.0,2022-04-25 19:11:10
75.0,2022-04-25 19:11:25
74.0,2022-04-25 19:11:30
76.0,2022-04-25 19:11:35
83.0,2022-04-25 19:11:40
95.0,2022-04-25 19:11:45
83.0,2022-04-25 19:11:50
67.0,2022-04-25 19:11:52
69.0,2022-04-25 19:11:55
64.0,2022-04-25 19:12:00
67.0,2022-04-25 19:12:07
66.0,2022-04-25 19:12:12
66.0,2022-04-25 19:12:22
68.0,2022-04-25 20:04:56
70.0,2022-04-25 20:05:01
69.0,2022-04-25 20:05:06
69.0,2022-04-25 20:05:11
76.0,2022-04-25 20:05:16
78.0,2022-04-25 20:05:24
78.0,2022-04-25 20:05:32
78.0,2022-04-25 20:05:47
82.0,2022-04-25 20:05:52
81.0,2022-04-25 20:05:57
88.0,2022-04-25 20:06:02
90.0,2022-04-25 20:06:07
87.0,2022-04-25 20:06:12
86.0,2022-04-25 20:06:17
84.0,2022-04-25 20:06:27
86.0,2022-04-25 20:06:37
88.0,2022-04-25 20:06:42
90.0,2022-04-25 20:06:47
86.0,2022-04-25 20:06:52
84.0,2022-04-25 20:06:57
85.0,2022-04-25 20:07:02
86.0,2022-04-25 20:07:07
90.0,2022-04-25 20:07:12
89.0,2022-04-25 20:07:17
90.0,2022-04-25 20:07:22
91.0,2022-04-25 20:07:27
90.0,2022-04-25 20:07:32
91.0,2022-04-25 20:07:37
92.0,2022-04-25 20:07:47
93.0,2022-04-25 20:07:57
93.0,2022-04-25 20:08:12
94.0,2022-04-25 20:08:17
94.0,2022-04-25 20:08:27
94.0,2022-04-25 20:08:32
96.0,2022-04-25 20:08:37
95.0,2022-04-25 20:08:52
96.0,2022-04-25 20:09:02
95.0,2022-04-25 20:09:12
96.0,2022-04-25 20:09:17
94.0,2022-04-25 20:09:27
94.0,2022-04-25 20:09:32
94.0,2022-04-25 20:09:42
94.0,2022-04-25 20:09:52
95.0,2022-04-25 20:09:57
94.0,2022-04-25 20:10:02
93.0,2022-04-25 20:10:17
93.0,2022-04-25 20:10:32
92.0,2022-04-25 20:10:42
90.0,2022-04-25 20:10:47
91.0,2022-04-25 20:10:52
90.0,2022-04-25 20:11:02
91.0,2022-04-25 20:11:07
92.0,2022-04-25 20:11:22
92.0,2022-04-25 20:11:27
91.0,2022-04-25 20:11:32
91.0,2022-04-25 20:11:37
90.0,2022-04-25 20:11:42
90.0,2022-04-25 20:11:57
92.0,2022-04-25 20:12:07
91.0,2022-04-25 20:12:17
91.0,2022-04-25 20:12:22
91.0,2022-04-25 20:12:27
90.0,2022-04-25 20:12:32
91.0,2022-04-25 20:12:42
91.0,2022-04-25 20:12:57
91.0,2022-04-25 20:13:12
91.0,2022-04-25 20:13:22
89.0,2022-04-25 20:13:37
86.0,2022-04-25 20:13:42
88.0,2022-04-25 20:13:47
90.0,2022-04-25 20:13:52
90.0,2022-04-25 20:13:57
91.0,2022-04-25 20:14:02
90.0,2022-04-25 20:14:12
90.0,2022-04-25 20:14:17
90.0,2022-04-25 20:14:22
90.0,2022-04-25 20:14:32
90.0,2022-04-25 20:14:42
86.0,2022-04-25 20:14:47
82.0,2022-04-25 20:14:52
85.0,2022-04-25 20:14:57
86.0,2022-04-25 20:15:02
89.0,2022-04-25 20:15:07
84.0,2022-04-25 20:15:12
83.0,2022-04-25 20:15:17
80.0,2022-04-25 20:15:22
82.0,2022-04-25 20:15:27
84.0,2022-04-25 20:15:32
87.0,2022-04-25 20:15:37
88.0,2022-04-25 20:15:47
89.0,2022-04-25 20:15:52
89.0,2022-04-25 20:16:07
90.0,2022-04-25 20:16:12
91.0,2022-04-25 20:16:17
92.0,2022-04-25 20:16:22
92.0,2022-04-25 20:16:32
92.0,2022-04-25 20:16:47
91.0,2022-04-25 20:16:52
92.0,2022-04-25 20:17:02
91.0,2022-04-25 20:17:07
90.0,2022-04-25 20:17:12
90.0,2022-04-25 20:17:27
89.0,2022-04-25 20:17:37
89.0,2022-04-25 20:17:52
90.0,2022-04-25 20:18:07
89.0,2022-04-25 20:18:12
89.0,2022-04-25 20:18:17
89.0,2022-04-25 20:18:32
89.0,2022-04-25 20:18:42
89.0,2022-04-25 20:18:47
90.0,2022-04-25 20:18:57
89.0,2022-04-25 20:19:07
88.0,2022-04-25 20:19:17
88.0,2022-04-25 20:19:32
88.0,2022-04-25 20:19:37
89.0,2022-04-25 20:19:47
89.0,2022-04-25 20:20:02
90.0,2022-04-25 20:20:07
89.0,2022-04-25 20:20:22
90.0,2022-04-25 20:20:32
89.0,2022-04-25 20:20:37
89.0,2022-04-25 20:20:52
90.0,2022-04-25 20:20:57
90.0,2022-04-25 20:21:12
90.0,2022-04-25 20:21:22
90.0,2022-04-25 20:21:32
91.0,2022-04-25 20:21:37
92.0,2022-04-25 20:21:52
91.0,2022-04-25 20:22:02
91.0,2022-04-25 20:22:07
90.0,2022-04-25 20:22:12
88.0,2022-04-25 20:22:17
89.0,2022-04-25 20:22:22
89.0,2022-04-25 20:22:32
88.0,2022-04-25 20:22:42
88.0,2022-04-25 20:22:57
88.0,2022-04-25 20:23:12
89.0,2022-04-25 20:23:17
90.0,2022-04-25 20:23:27
89.0,2022-04-25 20:23:32
89.0,2022-04-25 20:23:47
90.0,2022-04-25 20:23:52
90.0,2022-04-25 20:24:07
90.0,2022-04-25 20:24:22
90.0,2022-04-25 20:24:37
90.0,2022-04-25 20:24:47
90.0,2022-04-25 20:24:52
89.0,2022-04-25 20:24:57
89.0,2022-04-25 20:25:12
90.0,2022-04-25 20:25:17
89.0,2022-04-25 20:25:32
90.0,2022-04-25 20:25:37
90.0,2022-04-25 20:25:52
89.0,2022-04-25 20:26:02
90.0,2022-04-25 20:26:17
90.0,2022-04-25 20:26:32
90.0,2022-04-25 20:26:47
90.0,2022-04-25 20:26:57
90.0,2022-04-25 20:27:12
89.0,2022-04-25 20:27:17
89.0,2022-04-25 20:27:32
88.0,2022-04-25 20:27:37
89.0,2022-04-25 20:27:52
88.0,2022-04-25 20:28:02
89.0,2022-04-25 20:28:07
89.0,2022-04-25 20:28:12
89.0,2022-04-25 20:28:17
88.0,2022-04-25 20:28:32
89.0,2022-04-25 20:28:37
88.0,2022-04-25 20:28:47
88.0,2022-04-25 20:29:02
89.0,2022-04-25 20:29:12
89.0,2022-04-25 20:29:27
90.0,2022-04-25 20:29:32
89.0,2022-04-25 20:29:37
88.0,2022-04-25 20:29:47
87.0,2022-04-25 20:29:57
87.0,2022-04-25 20:30:12
88.0,2022-04-25 20:30:22
88.0,2022-04-25 20:30:37
89.0,2022-04-25 20:30:42
87.0,2022-04-25 20:30:47
87.0,2022-04-25 20:30:52
88.0,2022-04-25 20:30:57
89.0,2022-04-25 20:31:02
88.0,2022-04-25 20:31:12
90.0,2022-04-25 20:31:17
92.0,2022-04-25 20:31:22
91.0,2022-04-25 20:31:27
90.0,2022-04-25 20:31:32
87.0,2022-04-25 20:31:37
87.0,2022-04-25 20:31:52
87.0,2022-04-25 20:32:07
88.0,2022-04-25 20:32:12
88.0,2022-04-25 20:32:17
89.0,2022-04-25 20:32:22
89.0,2022-04-25 20:32:27
90.0,2022-04-25 20:32:32
90.0,2022-04-25 20:32:47
89.0,2022-04-25 20:32:52
88.0,2022-04-25 20:32:57
88.0,2022-04-25 20:33:12
89.0,2022-04-25 20:33:27
90.0,2022-04-25 20:33:37
90.0,2022-04-25 20:33:52
91.0,2022-04-25 20:34:02
90.0,2022-04-25 20:34:12
90.0,2022-04-25 20:34:27
91.0,2022-04-25 20:34:32
90.0,2022-04-25 20:34:47
90.0,2022-04-25 20:35:02
91.0,2022-04-25 20:35:07
91.0,2022-04-25 20:35:22
92.0,2022-04-25 20:35:32
93.0,2022-04-25 20:35:37
92.0,2022-04-25 20:35:42
91.0,2022-04-25 20:35:47
91.0,2022-04-25 20:35:52
90.0,2022-04-25 20:36:07
89.0,2022-04-25 20:36:22
88.0,2022-04-25 20:36:27
87.0,2022-04-25 20:36:32
87.0,2022-04-25 20:36:37
87.0,2022-04-25 20:36:42
86.0,2022-04-25 20:36:52
88.0,2022-04-25 20:37:02
89.0,2022-04-25 20:37:07
90.0,2022-04-25 20:37:12
89.0,2022-04-25 20:37:17
88.0,2022-04-25 20:37:22
89.0,2022-04-25 20:37:37
88.0,2022-04-25 20:37:42
87.0,2022-04-25 20:37:47
88.0,2022-04-25 20:37:52
89.0,2022-04-25 20:37:57
91.0,2022-04-25 20:38:07
91.0,2022-04-25 20:38:22
91.0,2022-04-25 20:38:27
91.0,2022-04-25 20:38:53
91.0,2022-04-25 20:39:01
86.0,2022-04-25 20:39:37
70.0,2022-04-25 20:39:58
70.0,2022-04-25 20:40:10
78.0,2022-04-26 19:48:06
79.0,2022-04-26 19:48:16
78.0,2022-04-26 19:48:21
69.0,2022-04-26 19:48:31
63.0,2022-04-26 19:48:36
61.0,2022-04-26 19:48:41
59.0,2022-04-26 19:48:46
57.0,2022-04-26 19:49:01
58.0,2022-04-26 19:49:06
58.0,2022-04-26 19:49:21
59.0,2022-04-26 19:49:26
57.0,2022-04-26 19:49:31
60.0,2022-04-26 19:49:36
59.0,2022-04-26 19:49:41
64.0,2022-04-26 19:49:56
61.0,2022-04-26 19:50:01
64.0,2022-04-26 19:50:06
61.0,2022-04-26 19:50:11
60.0,2022-04-26 19:50:16
61.0,2022-04-26 19:50:21
60.0,2022-04-26 19:50:26
57.0,2022-04-26 19:50:31
58.0,2022-04-26 19:50:36
56.0,2022-04-26 19:50:46
55.0,2022-04-26 19:50:56
56.0,2022-04-26 19:51:11
56.0,2022-04-26 19:51:16
57.0,2022-04-26 19:51:26
58.0,2022-04-26 19:51:31
55.0,2022-04-26 19:51:36
55.0,2022-04-26 19:51:41
55.0,2022-04-26 19:51:46
55.0,2022-04-26 19:52:01
54.0,2022-04-26 19:52:06
56.0,2022-04-26 19:52:11
55.0,2022-04-26 19:52:21
55.0,2022-04-26 19:52:26
56.0,2022-04-26 19:52:31
55.0,2022-04-26 19:52:36
55.0,2022-04-26 19:52:51
55.0,2022-04-26 19:52:56
60.0,2022-04-26 19:58:21
60.0,2022-04-26 19:58:26
60.0,2022-04-26 19:58:41
59.0,2022-04-26 19:58:46
58.0,2022-04-26 19:59:01
58.0,2022-04-26 19:59:06
57.0,2022-04-26 19:59:21
57.0,2022-04-26 19:59:26
57.0,2022-04-26 19:59:31
56.0,2022-04-26 19:59:41
